Coin,Model,Horizon_Days,Current_Price,Forecast_Price,Expected_Return_Pct,Expected_Profit_per_Unit
SOL-USD,ARIMA,7,123.9348,123.9073,-0.02,-0.0275
SOL-USD,ARIMA,30,123.9348,123.9063,-0.02,-0.0284
SOL-USD,ARIMA,90,123.9348,123.9063,-0.02,-0.0284
SOL-USD,LSTM,7,123.8827,121.6673,-1.79,-2.2154
SOL-USD,LSTM,30,123.8827,111.9754,-9.61,-11.9073
SOL-USD,LSTM,90,123.8827,88.4123,-28.63,-35.4704
SOL-USD,Random Forest,7,129.3005,132.1912,2.24,2.8907
SOL-USD,Random Forest,30,129.3005,132.1912,2.24,2.8907
SOL-USD,Random Forest,90,129.3005,132.1912,2.24,2.8907
SOL-USD,XGBoost,7,130.2769,132.9571,2.06,2.6803
SOL-USD,XGBoost,30,130.2769,132.9571,2.06,2.6803
SOL-USD,XGBoost,90,130.2769,132.9571,2.06,2.6803
SOL-USD,Prophet,7,171.5514,176.3675,2.81,4.8161
SOL-USD,Prophet,30,171.5514,186.1159,8.49,14.5645
SOL-USD,Prophet,90,171.5514,174.0848,1.48,2.5334
FIL-USD,ARIMA,7,1.2963,1.2991,0.22,0.0028
FIL-USD,ARIMA,30,1.2963,1.2989,0.2,0.0026
FIL-USD,ARIMA,90,1.2963,1.2989,0.2,0.0026
FIL-USD,LSTM,7,1.4841,1.807,21.75,0.3228
FIL-USD,LSTM,30,1.4841,2.7643,86.26,1.2801
FIL-USD,LSTM,90,1.4841,3.7626,153.52,2.2785
FIL-USD,Random Forest,7,3.0434,3.1973,5.06,0.1539
FIL-USD,Random Forest,30,3.0434,3.2002,5.15,0.1569
FIL-USD,Random Forest,90,3.0434,3.2002,5.15,0.1569
FIL-USD,XGBoost,7,3.1547,3.1344,-0.64,-0.0202
FIL-USD,XGBoost,30,3.1547,3.1344,-0.64,-0.0202
FIL-USD,XGBoost,90,3.1547,3.1344,-0.64,-0.0202
FIL-USD,Prophet,7,2.0437,2.5052,22.58,0.4615
FIL-USD,Prophet,30,2.0437,2.4757,21.14,0.432
FIL-USD,Prophet,90,2.0437,3.94,92.79,1.8963
BNB-USD,ARIMA,7,843.3435,845.0307,0.2,1.6871
BNB-USD,ARIMA,30,843.3435,844.98,0.19,1.6364
BNB-USD,ARIMA,90,843.3435,844.98,0.19,1.6364
BNB-USD,LSTM,7,834.0977,794.1353,-4.79,-39.9624
BNB-USD,LSTM,30,834.0977,689.7059,-17.31,-144.3918
BNB-USD,LSTM,90,834.0977,565.4573,-32.21,-268.6404
BNB-USD,Random Forest,7,703.6828,701.9059,-0.25,-1.7769
BNB-USD,Random Forest,30,703.6828,701.9059,-0.25,-1.7769
BNB-USD,Random Forest,90,703.6828,701.9059,-0.25,-1.7769
BNB-USD,XGBoost,7,688.6478,687.4392,-0.18,-1.2086
BNB-USD,XGBoost,30,688.6478,687.6292,-0.15,-1.0186
BNB-USD,XGBoost,90,688.6478,687.6292,-0.15,-1.0186
BNB-USD,Prophet,7,1016.7231,1040.9705,2.38,24.2474
BNB-USD,Prophet,30,1016.7231,1075.9397,5.82,59.2166
BNB-USD,Prophet,90,1016.7231,1178.9484,15.96,162.2253
NEO-USD,ARIMA,7,3.5546,3.5554,0.02,0.0008
NEO-USD,ARIMA,30,3.5546,3.5553,0.02,0.0007
NEO-USD,ARIMA,90,3.5546,3.5553,0.02,0.0007
NEO-USD,LSTM,7,3.9227,4.6817,19.35,0.759
NEO-USD,LSTM,30,3.9227,7.2414,84.6,3.3187
NEO-USD,LSTM,90,3.9227,10.0361,155.84,6.1133
NEO-USD,Random Forest,7,6.2401,6.2401,0.0,0.0
NEO-USD,Random Forest,30,6.2401,6.2401,-0.0,-0.0
NEO-USD,Random Forest,90,6.2401,6.2401,0.0,0.0
NEO-USD,XGBoost,7,6.5016,6.3615,-2.16,-0.1401
NEO-USD,XGBoost,30,6.5016,6.4291,-1.12,-0.0725
NEO-USD,XGBoost,90,6.5016,6.4291,-1.12,-0.0725
NEO-USD,Prophet,7,5.8439,5.8182,-0.44,-0.0257
NEO-USD,Prophet,30,5.8439,5.0462,-13.65,-0.7977
NEO-USD,Prophet,90,5.8439,6.3662,8.94,0.5223
