Symbol,Model,Horizon,Current_Price,Forecast_Price,Signal,Entry_Price,Exit_Price,Expected_Return_%,Trend,MA_Signal
SOL-USD,ARIMA,7D,123.8572,123.9073,HOLD,123.8572,123.9073,0.04,Downtrend,Bearish
SOL-USD,ARIMA,14D,123.8572,123.9063,HOLD,123.8572,123.9063,0.04,Downtrend,Bearish
SOL-USD,ARIMA,30D,123.8572,123.9063,HOLD,123.8572,123.9063,0.04,Downtrend,Bearish
SOL-USD,LSTM,7D,123.8572,121.6673,HOLD,123.8572,121.6673,-1.77,Downtrend,Bearish
SOL-USD,LSTM,14D,123.8572,118.6327,SELL,123.8572,118.6327,-4.22,Downtrend,Bearish
SOL-USD,LSTM,30D,123.8572,111.9754,SELL,123.8572,111.9754,-9.59,Downtrend,Bearish
SOL-USD,Random Forest,7D,123.8572,132.1912,BUY,123.8572,132.1912,6.73,Downtrend,Bearish
SOL-USD,Random Forest,14D,123.8572,132.1912,BUY,123.8572,132.1912,6.73,Downtrend,Bearish
SOL-USD,Random Forest,30D,123.8572,132.1912,BUY,123.8572,132.1912,6.73,Downtrend,Bearish
SOL-USD,XGBoost,7D,123.8572,132.9571,BUY,123.8572,132.9571,7.35,Downtrend,Bearish
SOL-USD,XGBoost,14D,123.8572,132.9571,BUY,123.8572,132.9571,7.35,Downtrend,Bearish
SOL-USD,XGBoost,30D,123.8572,132.9571,BUY,123.8572,132.9571,7.35,Downtrend,Bearish
SOL-USD,Prophet,7D,123.8572,176.3675,BUY,123.8572,176.3675,42.4,Downtrend,Bearish
SOL-USD,Prophet,14D,123.8572,183.4479,BUY,123.8572,183.4479,48.11,Downtrend,Bearish
SOL-USD,Prophet,30D,123.8572,186.1159,BUY,123.8572,186.1159,50.27,Downtrend,Bearish
FIL-USD,ARIMA,7D,1.3114,1.2991,HOLD,1.3114,1.2991,-0.93,Downtrend,Bearish
FIL-USD,ARIMA,14D,1.3114,1.2989,HOLD,1.3114,1.2989,-0.95,Downtrend,Bearish
FIL-USD,ARIMA,30D,1.3114,1.2989,HOLD,1.3114,1.2989,-0.95,Downtrend,Bearish
FIL-USD,LSTM,7D,1.3114,1.807,BUY,1.3114,1.807,37.79,Downtrend,Bearish
FIL-USD,LSTM,14D,1.3114,2.1744,BUY,1.3114,2.1744,65.81,Downtrend,Bearish
FIL-USD,LSTM,30D,1.3114,2.7643,BUY,1.3114,2.7643,110.8,Downtrend,Bearish
FIL-USD,Random Forest,7D,1.3114,3.1973,BUY,1.3114,3.1973,143.82,Downtrend,Bearish
FIL-USD,Random Forest,14D,1.3114,3.2002,BUY,1.3114,3.2002,144.04,Downtrend,Bearish
FIL-USD,Random Forest,30D,1.3114,3.2002,BUY,1.3114,3.2002,144.04,Downtrend,Bearish
FIL-USD,XGBoost,7D,1.3114,3.1344,BUY,1.3114,3.1344,139.02,Downtrend,Bearish
FIL-USD,XGBoost,14D,1.3114,3.1344,BUY,1.3114,3.1344,139.02,Downtrend,Bearish
FIL-USD,XGBoost,30D,1.3114,3.1344,BUY,1.3114,3.1344,139.02,Downtrend,Bearish
FIL-USD,Prophet,7D,1.3114,2.5052,BUY,1.3114,2.5052,91.04,Downtrend,Bearish
FIL-USD,Prophet,14D,1.3114,3.1981,BUY,1.3114,3.1981,143.88,Downtrend,Bearish
FIL-USD,Prophet,30D,1.3114,2.4757,BUY,1.3114,2.4757,88.79,Downtrend,Bearish
BNB-USD,ARIMA,7D,843.7714,845.0307,HOLD,843.7714,845.0307,0.15,Downtrend,Bearish
BNB-USD,ARIMA,14D,843.7714,844.9795,HOLD,843.7714,844.9795,0.14,Downtrend,Bearish
BNB-USD,ARIMA,30D,843.7714,844.98,HOLD,843.7714,844.98,0.14,Downtrend,Bearish
BNB-USD,LSTM,7D,843.7714,794.1353,SELL,843.7714,794.1353,-5.88,Downtrend,Bearish
BNB-USD,LSTM,14D,843.7714,753.4413,SELL,843.7714,753.4413,-10.71,Downtrend,Bearish
BNB-USD,LSTM,30D,843.7714,689.7059,SELL,843.7714,689.7059,-18.26,Downtrend,Bearish
BNB-USD,Random Forest,7D,843.7714,701.9059,SELL,843.7714,701.9059,-16.81,Downtrend,Bearish
BNB-USD,Random Forest,14D,843.7714,701.9059,SELL,843.7714,701.9059,-16.81,Downtrend,Bearish
BNB-USD,Random Forest,30D,843.7714,701.9059,SELL,843.7714,701.9059,-16.81,Downtrend,Bearish
BNB-USD,XGBoost,7D,843.7714,687.4392,SELL,843.7714,687.4392,-18.53,Downtrend,Bearish
BNB-USD,XGBoost,14D,843.7714,688.119,SELL,843.7714,688.119,-18.45,Downtrend,Bearish
BNB-USD,XGBoost,30D,843.7714,687.6292,SELL,843.7714,687.6292,-18.51,Downtrend,Bearish
BNB-USD,Prophet,7D,843.7714,1040.9705,BUY,843.7714,1040.9705,23.37,Downtrend,Bearish
BNB-USD,Prophet,14D,843.7714,1070.1659,BUY,843.7714,1070.1659,26.83,Downtrend,Bearish
BNB-USD,Prophet,30D,843.7714,1075.9397,BUY,843.7714,1075.9397,27.52,Downtrend,Bearish
NEO-USD,ARIMA,7D,3.5548,3.5554,HOLD,3.5548,3.5554,0.02,Downtrend,Bearish
NEO-USD,ARIMA,14D,3.5548,3.5553,HOLD,3.5548,3.5553,0.01,Downtrend,Bearish
NEO-USD,ARIMA,30D,3.5548,3.5553,HOLD,3.5548,3.5553,0.01,Downtrend,Bearish
NEO-USD,LSTM,7D,3.5548,4.6817,BUY,3.5548,4.6817,31.7,Downtrend,Bearish
NEO-USD,LSTM,14D,3.5548,5.5846,BUY,3.5548,5.5846,57.1,Downtrend,Bearish
NEO-USD,LSTM,30D,3.5548,7.2414,BUY,3.5548,7.2414,103.71,Downtrend,Bearish
NEO-USD,Random Forest,7D,3.5548,6.2401,BUY,3.5548,6.2401,75.54,Downtrend,Bearish
NEO-USD,Random Forest,14D,3.5548,6.2401,BUY,3.5548,6.2401,75.54,Downtrend,Bearish
NEO-USD,Random Forest,30D,3.5548,6.2401,BUY,3.5548,6.2401,75.54,Downtrend,Bearish
NEO-USD,XGBoost,7D,3.5548,6.3615,BUY,3.5548,6.3615,78.96,Downtrend,Bearish
NEO-USD,XGBoost,14D,3.5548,6.4128,BUY,3.5548,6.4128,80.4,Downtrend,Bearish
NEO-USD,XGBoost,30D,3.5548,6.4291,BUY,3.5548,6.4291,80.86,Downtrend,Bearish
NEO-USD,Prophet,7D,3.5548,5.8182,BUY,3.5548,5.8182,63.67,Downtrend,Bearish
NEO-USD,Prophet,14D,3.5548,5.9852,BUY,3.5548,5.9852,68.37,Downtrend,Bearish
NEO-USD,Prophet,30D,3.5548,5.0462,BUY,3.5548,5.0462,41.95,Downtrend,Bearish
